rate=1Mbps
payload_length=127
chirp_index=0
output_width=6
sample_index,tx_real_signed,tx_imag_signed,tx_valid,tx_done,fifo_overflow
758,3,-1,1,0,0
759,0,0,1,0,0
760,0,0,1,0,0
761,1,-1,1,0,0
762,2,-4,1,0,0
763,-6,-6,1,0,0
764,-9,5,1,0,0
765,4,14,1,0,0
766,18,0,1,0,0
767,9,-19,1,0,0
768,-13,-17,1,0,0
769,-21,3,1,0,0
770,-7,19,1,0,0
771,13,15,1,0,0
772,21,-3,1,0,0
773,12,-18,1,0,0
774,-6,-22,1,0,0
775,-19,-11,1,0,0
776,-21,5,1,0,0
777,-11,17,1,0,0
778,4,20,1,0,0
779,15,15,1,0,0
780,21,3,1,0,0
781,20,-8,1,0,0
782,13,-17,1,0,0
783,5,-21,1,0,0
784,-4,-22,1,0,0
785,-11,-19,1,0,0
786,-16,-14,1,0,0
787,-19,-9,1,0,0
788,-21,-5,1,0,0
789,-21,-1,1,0,0
790,-21,3,1,0,0
791,-20,4,1,0,0
792,-18,4,1,0,0
793,-14,4,1,0,0
794,-11,3,1,0,0
795,-7,1,1,0,0
796,-3,-1,1,0,0
797,-1,-1,1,0,0
798,0,0,1,0,0
799,-1,-1,1,0,0
800,-3,-1,1,0,0
801,-7,1,1,0,0
802,-11,3,1,0,0
803,-14,4,1,0,0
804,-18,4,1,0,0
805,-20,4,1,0,0
806,-21,3,1,0,0
807,-21,-1,1,0,0
808,-21,-5,1,0,0
809,-19,-9,1,0,0
810,-16,-14,1,0,0
811,-11,-19,1,0,0
812,-4,-22,1,0,0
813,5,-21,1,0,0
814,13,-17,1,0,0
815,20,-8,1,0,0
816,21,3,1,0,0
817,15,15,1,0,0
818,4,20,1,0,0
819,-11,17,1,0,0
820,-21,5,1,0,0
821,-19,-11,1,0,0
822,-6,-22,1,0,0
823,12,-18,1,0,0
824,21,-3,1,0,0
825,13,15,1,0,0
826,-7,19,1,0,0
827,-21,3,1,0,0
828,-13,-17,1,0,0
829,9,-19,1,0,0
830,18,0,1,0,0
831,4,14,1,0,0
832,-9,5,1,0,0
833,-6,-6,1,0,0
834,2,-4,1,0,0
835,1,-1,1,0,0
836,0,0,1,0,0
837,0,0,1,0,0
838,-3,1,1,0,0
839,-5,-7,1,0,0
840,6,-10,1,0,0
841,15,3,1,0,0
842,1,17,1,0,0
843,-18,8,1,0,0
844,-16,-14,1,0,0
845,4,-22,1,0,0
846,20,-8,1,0,0
847,16,12,1,0,0
848,-2,20,1,0,0
849,-17,11,1,0,0
850,-21,-7,1,0,0
851,-10,-20,1,0,0
852,6,-22,1,0,0
853,18,-12,1,0,0
854,21,3,1,0,0
855,15,15,1,0,0
856,4,20,1,0,0
857,-7,19,1,0,0
858,-16,12,1,0,0
859,-20,4,1,0,0
860,-21,-5,1,0,0
861,-18,-12,1,0,0
862,-13,-17,1,0,0
863,-8,-20,1,0,0
864,-4,-22,1,0,0
865,0,-22,1,0,0
866,4,-22,1,0,0
867,5,-21,1,0,0
868,5,-19,1,0,0
869,5,-15,1,0,0
870,4,-12,1,0,0
871,2,-8,1,0,0
872,0,-4,1,0,0
873,0,-2,1,0,0
874,0,0,1,0,0
875,0,-2,1,0,0
876,0,-4,1,0,0
877,2,-8,1,0,0
878,4,-12,1,0,0
879,5,-15,1,0,0
880,5,-19,1,0,0
881,5,-21,1,0,0
882,4,-22,1,0,0
883,0,-22,1,0,0
884,-4,-22,1,0,0
885,-8,-20,1,0,0
886,-13,-17,1,0,0
887,-18,-12,1,0,0
888,-21,-5,1,0,0
889,-20,4,1,0,0
890,-16,12,1,0,0
891,-7,19,1,0,0
892,4,20,1,0,0
893,15,15,1,0,0
894,21,3,1,0,0
895,18,-12,1,0,0
896,6,-22,1,0,0
897,-10,-20,1,0,0
898,-21,-7,1,0,0
899,-17,11,1,0,0
900,-2,20,1,0,0
901,16,12,1,0,0
902,20,-8,1,0,0
903,4,-22,1,0,0
904,-16,-14,1,0,0
905,-18,8,1,0,0
906,1,17,1,0,0
907,15,3,1,0,0
908,6,-10,1,0,0
909,-5,-7,1,0,0
910,-3,1,1,0,0
911,0,0,1,0,0
912,0,0,1,0,0
913,-1,1,1,0,0
914,-2,4,1,0,0
915,6,6,1,0,0
916,9,-5,1,0,0
917,-4,-14,1,0,0
918,-18,0,1,0,0
